date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:08	72235/72235	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Mar%202022%2005:48:36%20GMT	https://themes.potenzaglobalsolutions.com/html/jobster/index.html	D:/Trabalho/Projectos/TemplateRecrutamento/themes.potenzaglobalsolutions.com/html/jobster/index.html	(from )
17:10:09	280/280	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20May%202024%2015:10:08%20GMT	https://themes.potenzaglobalsolutions.com/robots.txt		(from )
17:10:09	868/868	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2015%20Jul%202021%2011:33:46%20GMT	https://themes.potenzaglobalsolutions.com/html/jobster/images/favicon.ico	D:/Trabalho/Projectos/TemplateRecrutamento/themes.potenzaglobalsolutions.com/html/jobster/images/favicon.ico	(from https://themes.potenzaglobalsolutions.com/html/jobster/index.html)
17:10:10	89227/89227	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Mar%202022%2005:48:36%20GMT	https://themes.potenzaglobalsolutions.com/html/jobster/css/font-awesome/all.min.css	D:/Trabalho/Projectos/TemplateRecrutamento/themes.potenzaglobalsolutions.com/html/jobster/css/font-awesome/all.min.css	(from https://themes.potenzaglobalsolutions.com/html/jobster/index.html)
17:10:10	6367/6367	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20May%202019%2011:32:56%20GMT	https://themes.potenzaglobalsolutions.com/html/jobster/css/flaticon/flaticon.css	D:/Trabalho/Projectos/TemplateRecrutamento/themes.potenzaglobalsolutions.com/html/jobster/css/flaticon/flaticon.css	(from https://themes.potenzaglobalsolutions.com/html/jobster/index.html)
17:10:10	3358/3358	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Mar%202022%2005:48:36%20GMT	https://themes.potenzaglobalsolutions.com/html/jobster/css/owl-carousel/owl.carousel.min.css	D:/Trabalho/Projectos/TemplateRecrutamento/themes.potenzaglobalsolutions.com/html/jobster/css/owl-carousel/owl.carousel.min.css	(from https://themes.potenzaglobalsolutions.com/html/jobster/index.html)
17:10:11	6214/6214	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20Oct%202017%2005:29:14%20GMT	https://themes.potenzaglobalsolutions.com/html/jobster/css/magnific-popup/magnific-popup.css	D:/Trabalho/Projectos/TemplateRecrutamento/themes.potenzaglobalsolutions.com/html/jobster/css/magnific-popup/magnific-popup.css	(from https://themes.potenzaglobalsolutions.com/html/jobster/index.html)
17:10:11	17591/17591	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20May%202019%2020:14:21%20GMT	https://themes.potenzaglobalsolutions.com/html/jobster/css/select2/select2.css	D:/Trabalho/Projectos/TemplateRecrutamento/themes.potenzaglobalsolutions.com/html/jobster/css/select2/select2.css	(from https://themes.potenzaglobalsolutions.com/html/jobster/index.html)
17:10:11	163879/163879	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Mar%202022%2005:48:36%20GMT	https://themes.potenzaglobalsolutions.com/html/jobster/css/bootstrap/bootstrap.min.css	D:/Trabalho/Projectos/TemplateRecrutamento/themes.potenzaglobalsolutions.com/html/jobster/css/bootstrap/bootstrap.min.css	(from https://themes.potenzaglobalsolutions.com/html/jobster/index.html)
17:10:12	3124/3124	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2015%20Jul%202021%2011:33:47%20GMT	https://themes.potenzaglobalsolutions.com/html/jobster/images/logo.svg	D:/Trabalho/Projectos/TemplateRecrutamento/themes.potenzaglobalsolutions.com/html/jobster/images/logo.svg	(from https://themes.potenzaglobalsolutions.com/html/jobster/index.html)
17:10:12	84263/84263	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Mar%202022%2005:48:36%20GMT	https://themes.potenzaglobalsolutions.com/html/jobster/index-02.html	D:/Trabalho/Projectos/TemplateRecrutamento/themes.potenzaglobalsolutions.com/html/jobster/index-02.html	(from https://themes.potenzaglobalsolutions.com/html/jobster/index.html)
17:10:12	178664/178664	---M-Z	200	added ('OK')	text/css	date:Sat,%2026%20Mar%202022%2004:33:35%20GMT	https://themes.potenzaglobalsolutions.com/html/jobster/css/style.css	D:/Trabalho/Projectos/TemplateRecrutamento/themes.potenzaglobalsolutions.com/html/jobster/css/style.css	(from https://themes.potenzaglobalsolutions.com/html/jobster/index.html)
17:10:14	79902/79902	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Mar%202022%2005:48:36%20GMT	https://themes.potenzaglobalsolutions.com/html/jobster/index-03.html	D:/Trabalho/Projectos/TemplateRecrutamento/themes.potenzaglobalsolutions.com/html/jobster/index-03.html	(from https://themes.potenzaglobalsolutions.com/html/jobster/index.html)
